frame,rgba_diff_pixels,rgba_exact_ratio,alpha_diff_pixels,alpha_exact_ratio,r_mae,g_mae,b_mae,a_mae,r_max,g_max,b_max,a_max,black_mae,black_max,paper_mae,paper_max
10,459483,0.6060673868312757,55695,0.9522505144032922,0.8572599451303154,0.7522033607681756,1.0006447187928669,0.1521596364883402,85,85,83,76,0.5933016117969822,76,0.5459079218106996,76
11,467636,0.5990775034293553,64372,0.9448113854595336,0.9049871399176955,0.795008573388203,1.0258916323731138,0.20160751028806584,67,63,64,81,0.6147253657978967,74,0.5544570187471421,67
12,447409,0.6164188957475994,64639,0.9445824759945131,0.8610991083676269,0.7547050754458162,0.9925351508916324,0.1899519890260631,62,55,57,66,0.5987951531778692,66,0.5435368084133516,63
13,538237,0.5385485253772291,44323,0.9620001714677641,0.9522093621399177,0.8697968106995885,1.118179012345679,0.13506944444444444,86,86,88,83,0.5347599451303156,79,0.48954818244170095,79
14,456929,0.6082570301783266,28802,0.975306927297668,0.6624965706447188,0.6170550411522634,0.8566126543209877,0.07588820301783265,94,94,98,71,0.3442569730224051,69,0.3098199588477366,68
15,397141,0.6595156035665295,26379,0.9773842592592592,0.6896073388203018,0.6549082647462278,0.8268818587105624,0.08152520576131687,73,73,73,86,0.33598050983081845,75,0.2992292524005487,72
16,77371,0.9336668381344307,12541,0.9892481138545953,0.08294753086419752,0.07515432098765432,0.09781721536351166,0.013511659807956104,8,7,12,7,0.056789837677183354,12,0.04997713763145862,12
17,202677,0.8262371399176955,18852,0.9838374485596708,0.33497427983539096,0.3230889917695473,0.3995327503429355,0.056978737997256515,113,113,113,93,0.16935128029263832,88,0.1424939986282579,93
18,199777,0.8287234224965706,19145,0.9835862482853224,0.3268689986282579,0.3143218449931413,0.39310528120713306,0.055601851851851854,64,66,68,78,0.16699931412894375,73,0.14084647919524462,56
19,196686,0.8313734567901234,19222,0.9835202331961591,0.28799468449931415,0.28181241426611797,0.3558573388203018,0.05791323731138546,78,78,81,86,0.12023148148148148,75,0.08981481481481482,82
20,159070,0.8636231138545953,17265,0.9851980452674897,0.2047590877914952,0.19930641289437587,0.262454561042524,0.04034293552812071,42,44,46,63,0.07437299954275263,59,0.05381944444444445,46
21,145716,0.8750720164609054,19687,0.9831215706447188,0.20631772976680385,0.20012688614540466,0.2525480109739369,0.058357338820301786,61,61,60,94,0.10202560585276635,83,0.07213991769547325,61
22,143805,0.876710390946502,19492,0.9832887517146777,0.20280778463648835,0.1973954046639232,0.249565329218107,0.05652606310013717,61,61,60,94,0.10007344535893918,83,0.07151377457704618,61
23,391238,0.6645764746227709,16753,0.9856370027434842,0.4226011659807956,0.41102537722908095,0.4912071330589849,0.05685099451303155,109,110,105,92,0.10008316186556927,92,0.07775062871513488,92
24,55002,0.9528446502057614,9102,0.9921965020576131,0.05246227709190672,0.04840363511659808,0.06495370370370371,0.009675068587105625,9,6,9,8,0.025609282121627802,10,0.020412379972565158,8
25,206180,0.8232338820301783,14766,0.9873405349794239,0.26974622770919066,0.25993227023319615,0.3501868998628258,0.04173525377229081,66,68,74,103,0.1103858024691358,76,0.08944587334247828,74
26,359454,0.6918261316872427,14650,0.9874399862825789,0.3899468449931413,0.38442815500685873,0.48440843621399177,0.04321759259259259,100,103,98,84,0.09038208733424782,84,0.0750008573388203,81
27,352192,0.6980521262002743,14606,0.9874777091906721,0.38079646776406034,0.3765380658436214,0.47666152263374484,0.04277949245541838,78,68,71,84,0.09002457704618198,84,0.07488454503886603,76
28,219845,0.8115183470507544,11621,0.990036865569273,0.24450188614540466,0.23501371742112484,0.3653223593964335,0.02631258573388203,42,44,43,68,0.06551211705532693,54,0.05264003200731596,44
29,200940,0.8277263374485597,13667,0.9882827503429356,0.2510270919067215,0.24751457475994512,0.3596622085048011,0.04077503429355281,68,70,63,93,0.0964106081390032,80,0.07555669867398263,70
30,176254,0.8488906035665295,11846,0.9898439643347051,0.2298962620027435,0.22219650205761318,0.321068244170096,0.03193501371742113,68,76,81,76,0.08127914951989026,76,0.06508173296753543,81
31,189860,0.8372256515775034,10522,0.9909790809327846,0.2834336419753086,0.2761076817558299,0.36121999314128944,0.0310090877914952,70,70,70,80,0.0946299154092364,74,0.07826388888888888,69
